txn_id,date,reference_no,narration,party,amount,dr_cr,payment_ref
TXN-INV-0101,2025-06-02,INV-0101,NEFT PAYMENT INV-0101 SHREE BALAJI TRADERS,Shree Balaji Traders,62489.27,DR,INV-0101
TXN-INV-0102,2025-06-16,INV-0102,NEFT PAYMENT INV-0102 OM ENTERPRISES,Om Enterprises,71527.22,DR,INV-0102
TXN-INV-0103,2025-07-18,INV-0103,NEFT PAYMENT INV-0103 KUMAR & SONS,Kumar & Sons,25654.16,DR,INV-0103
TXN-INV-0104,2025-07-18,INV-0104,NEFT PAYMENT INV-0104 GLOBAL TECH SOLUTIONS,Global Tech Solutions,14970.83,DR,INV-0104
TXN-INV-0105,2025-06-06,INV-0105,NEFT PAYMENT INV-0105 SUNRISE DISTRIBUTORS,Sunrise Distributors,84857.89,DR,INV-0105
TXN-INV-0106,2025-06-03,INV-0106,NEFT PAYMENT INV-0106 PINNACLE INDUSTRIES,Pinnacle Industries,58158.59,DR,INV-0106
TXN-INV-0107,2025-06-14,INV-0107,NEFT PAYMENT INV-0107 NOVA LOGISTICS,Nova Logistics,8537.05,DR,INV-0107
TXN-INV-0108,2025-07-09,INV-0108,NEFT PAYMENT INV-0108 EVEREST SUPPLIERS,Everest Suppliers,26490.49,DR,INV-0108
TXN-INV-0109,2025-06-13,INV-0109,NEFT PAYMENT INV-0109 SILVERLINE CORP,Silverline Corp,8248.44,DR,INV-0109
TXN-INV-0110,2025-07-15,INV-0110,NEFT PAYMENT INV-0110 ASHOKA METALS,Ashoka Metals,69267.73,DR,INV-0110
TXN-INV-0111,2025-06-15,INV-0111,NEFT PAYMENT INV-0111 SHREE BALAJI TRADERS,Shree Balaji Traders,54127.32,DR,INV-0111
TXN-INV-0112,2025-06-18,INV-0112,NEFT PAYMENT INV-0112 OM ENTERPRISES,Om Enterprises,45655.00,DR,INV-0112
TXN-INV-0113,2025-06-01,INV-0113,NEFT PAYMENT INV-0113 KUMAR & SONS,Kumar & Sons,77534.59,DR,INV-0113
TXN-INV-0114,2025-06-11,INV-0114,NEFT PAYMENT INV-0114 GLOBAL TECH SOLUTIONS,Global Tech Solutions,73054.45,DR,INV-0114
TXN-INV-0115,2025-06-22,INV-0115,NEFT PAYMENT INV-0115 SUNRISE DISTRIBUTORS,Sunrise Distributors,67685.33,DR,INV-0115
TXN-INV-0116,2025-06-14,INV-0116,NEFT PAYMENT INV-0116 PINNACLE INDUSTRIES,Pinnacle Industries,30491.61,DR,INV-0116
TXN-INV-0117,2025-06-22,INV-0117,NEFT PAYMENT INV-0117 NOVA LOGISTICS,Nova Logistics,90613.36,DR,INV-0117
TXN-INV-0118,2025-06-25,INV-0118,NEFT PAYMENT INV-0118 EVEREST SUPPLIERS,Everest Suppliers,14945.61,DR,INV-0118
TXN-INV-0119,2025-07-25,INV-0119,NEFT PAYMENT INV-0119 SILVERLINE CORP,Silverline Corp,14459.40,DR,INV-0119
TXN-INV-0120,2025-06-17,INV-0120,NEFT PAYMENT INV-0120 ASHOKA METALS,Ashoka Metals,36340.08,DR,INV-0120
TXN-INV-0121,2025-07-17,INV-0121,NEFT PAYMENT INV-0121 SHREE BALAJI TRADERS,Shree Balaji Traders,77330.85,DR,INV-0121
TXN-INV-0122,2025-06-08,INV-0122,NEFT PAYMENT INV-0122 OM ENTERPRISES,Om Enterprises,46559.11,DR,INV-0122
TXN-INV-0123,2025-06-25,INV-0123,NEFT PAYMENT INV-0123 KUMAR & SONS,Kumar & Sons,92020.74,DR,INV-0123
TXN-INV-0124,2025-06-19,INV-0124,NEFT PAYMENT INV-0124 GLOBAL TECH SOLUTIONS,Global Tech Solutions,12873.81,DR,INV-0124
TXN-INV-0125,2025-07-10,INV-0125,NEFT PAYMENT INV-0125 SUNRISE DISTRIBUTORS,Sunrise Distributors,79302.31,DR,INV-0125
TXN-INV-0126,2025-06-24,INV-0126,NEFT PAYMENT INV-0126 PINNACLE INDUSTRIES,Pinnacle Industries,84262.48,DR,INV-0126
TXN-INV-0127,2025-07-16,INV-0127,NEFT PAYMENT INV-0127 NOVA LOGISTICS,Nova Logistics,56995.66,DR,INV-0127
TXN-INV-0128,2025-07-13,INV-0128,NEFT PAYMENT INV-0128 EVEREST SUPPLIERS,Everest Suppliers,12055.64,DR,INV-0128
TXN-INV-0129,2025-06-19,INV-0129,NEFT PAYMENT INV-0129 SILVERLINE CORP,Silverline Corp,26069.00,DR,INV-0129
TXN-INV-0130,2025-07-25,INV-0130,NEFT PAYMENT INV-0130 ASHOKA METALS,Ashoka Metals,93092.10,DR,INV-0130
TXN-INV-0131,2025-06-07,INV-0131,NEFT PAYMENT INV-0131 SHREE BALAJI TRADERS,Shree Balaji Traders,26502.00,DR,INV-0131
TXN-INV-0132,2025-06-30,INV-0132,NEFT PAYMENT INV-0132 OM ENTERPRISES,Om Enterprises,39541.17,DR,INV-0132
TXN-INV-0133,2025-06-24,INV-0133,NEFT PAYMENT INV-0133 KUMAR & SONS,Kumar & Sons,62158.07,DR,INV-0133
TXN-INV-0134,2025-06-23,INV-0134,NEFT PAYMENT INV-0134 GLOBAL TECH SOLUTIONS,Global Tech Solutions,20294.89,DR,INV-0134
TXN-INV-0135,2025-06-18,INV-0135,NEFT PAYMENT INV-0135 SUNRISE DISTRIBUTORS,Sunrise Distributors,24441.38,DR,INV-0135
TXN-INV-0136,2025-07-14,INV-0136,NEFT PAYMENT INV-0136 PINNACLE INDUSTRIES,Pinnacle Industries,68011.09,DR,INV-0136
TXN-INV-0137,2025-07-09,INV-0137,NEFT PAYMENT INV-0137 NOVA LOGISTICS,Nova Logistics,63251.13,DR,INV-0137
TXN-INV-0138,2025-07-05,INV-0138,NEFT PAYMENT INV-0138 EVEREST SUPPLIERS,Everest Suppliers,62095.58,DR,INV-0138
TXN-INV-0139,2025-06-11,INV-0139,NEFT PAYMENT INV-0139 SILVERLINE CORP,Silverline Corp,70427.72,DR,INV-0139
TXN-INV-0140,2025-06-18,INV-0140,NEFT PAYMENT INV-0140 ASHOKA METALS,Ashoka Metals,46810.03,DR,INV-0140
