invoice_no,vendor,edge_case,status_expected
INV-0101,Shree Balaji Traders,exact_match,MATCHED
INV-0102,Om Enterprises,exact_match,MATCHED
INV-0103,Kumar & Sons,exact_match,MATCHED
INV-0104,Global Tech Solutions,exact_match,MATCHED
INV-0105,Sunrise Distributors,exact_match,MATCHED
INV-0106,Pinnacle Industries,exact_match,MATCHED
INV-0107,Nova Logistics,exact_match,MATCHED
INV-0108,Everest Suppliers,exact_match,MATCHED
INV-0109,Silverline Corp,exact_match,MATCHED
INV-0110,Ashoka Metals,exact_match,MATCHED
INV-0111,Shree Balaji Traders,exact_match,MATCHED
INV-0112,Om Enterprises,exact_match,MATCHED
INV-0113,Kumar & Sons,exact_match,MATCHED
INV-0114,Global Tech Solutions,exact_match,MATCHED
INV-0115,Sunrise Distributors,exact_match,MATCHED
INV-0116,Pinnacle Industries,exact_match,MATCHED
INV-0117,Nova Logistics,exact_match,MATCHED
INV-0118,Everest Suppliers,exact_match,MATCHED
INV-0119,Silverline Corp,exact_match,MATCHED
INV-0120,Ashoka Metals,exact_match,MATCHED
INV-0121,Shree Balaji Traders,exact_match,MATCHED
INV-0122,Om Enterprises,exact_match,MATCHED
INV-0123,Kumar & Sons,exact_match,MATCHED
INV-0124,Global Tech Solutions,exact_match,MATCHED
INV-0125,Sunrise Distributors,exact_match,MATCHED
INV-0126,Pinnacle Industries,exact_match,MATCHED
INV-0127,Nova Logistics,exact_match,MATCHED
INV-0128,Everest Suppliers,exact_match,MATCHED
INV-0129,Silverline Corp,exact_match,MATCHED
INV-0130,Ashoka Metals,exact_match,MATCHED
INV-0131,Shree Balaji Traders,exact_match,MATCHED
INV-0132,Om Enterprises,exact_match,MATCHED
INV-0133,Kumar & Sons,exact_match,MATCHED
INV-0134,Global Tech Solutions,exact_match,MATCHED
INV-0135,Sunrise Distributors,exact_match,MATCHED
INV-0136,Pinnacle Industries,exact_match,MATCHED
INV-0137,Nova Logistics,exact_match,MATCHED
INV-0138,Everest Suppliers,exact_match,MATCHED
INV-0139,Silverline Corp,exact_match,MATCHED
INV-0140,Ashoka Metals,exact_match,MATCHED
INV-0141,Shree Balaji Traders,exact_match,MATCHED
INV-0142,Om Enterprises,exact_match,MATCHED
INV-0143,Kumar & Sons,exact_match,MATCHED
INV-0144,Global Tech Solutions,exact_match,MATCHED
INV-0145,Sunrise Distributors,exact_match,MATCHED
INV-0146,Pinnacle Industries,exact_match,MATCHED
INV-0147,Nova Logistics,amount_mismatch,MISMATCH
INV-0148,Everest Suppliers,amount_mismatch,MISMATCH
INV-0149,Silverline Corp,amount_mismatch,MISMATCH
INV-0150,Ashoka Metals,amount_mismatch,MISMATCH
INV-0151,Shree Balaji Traders,missing_tally,MISSING
INV-0152,Om Enterprises,missing_tally,MISSING
INV-0153,Kumar & Sons,missing_tally,MISSING
INV-0154,Global Tech Solutions,missing_tally,MISSING
INV-0155,Sunrise Distributors,missing_bank,MISSING
INV-0156,Pinnacle Industries,missing_bank,MISSING
INV-0157,Nova Logistics,missing_bank,MISSING
INV-0158,Everest Suppliers,missing_bank,MISSING
INV-0159,Silverline Corp,duplicate_invoice,DUPLICATE
INV-0160,Ashoka Metals,duplicate_invoice,DUPLICATE
INV-0161,Shree Balaji Traders,duplicate_invoice,DUPLICATE
INV-0162,Om Enterprises,duplicate_tally,DUPLICATE
INV-0163,Kumar & Sons,duplicate_tally,DUPLICATE
INV-0164,Global Tech Solutions,invoice_format_variant,MATCHED
INV-0165,Sunrise Distributors,invoice_format_variant,MATCHED
INV-0166,Pinnacle Industries,invoice_format_variant,MATCHED
INV-0167,Shree Balaji Traders,vendor_name_variant,MATCHED
INV-0168,Om Enterprises,vendor_name_variant,MATCHED
INV-0169,Global Tech Solutions,vendor_name_variant,MATCHED
INV-0170,Ashoka Metals,bank_fee_deduction,MATCHED_WITH_TOLERANCE
INV-0171,Shree Balaji Traders,bank_fee_deduction,MATCHED_WITH_TOLERANCE
INV-0172,Om Enterprises,bank_fee_deduction,MATCHED_WITH_TOLERANCE
INV-0173,Kumar & Sons,bank_fee_deduction,MATCHED_WITH_TOLERANCE
