invoice_no,gstin,customer,taxable_amt,cgst,sgst,igst,total,date
INV-0101,27AAACB1234F1Z5,Shree Balaji Traders,52957.01,4766.13,4766.13,0.00,62489.27,2025-06-02
INV-0102,07AAACO5678G1Z2,Om Enterprises,60616.29,5455.47,5455.47,0.00,71527.22,2025-06-16
INV-0103,29AAACK9012H1Z8,Kumar & Sons,21740.81,1956.67,1956.67,0.00,25654.16,2025-07-18
INV-0104,36AAACG3456I1Z1,Global Tech Solutions,12687.14,1141.85,1141.85,0.00,14970.83,2025-07-18
INV-0105,19AAACS7890J1Z4,Sunrise Distributors,71913.47,6472.21,6472.21,0.00,84857.89,2025-06-06
INV-0106,24AAACP2345K1Z7,Pinnacle Industries,49286.94,4435.82,4435.82,0.00,58158.59,2025-06-03
INV-0107,33AAACN6789L1Z0,Nova Logistics,7234.79,651.13,651.13,0.00,8537.05,2025-06-14
INV-0108,06AAACE0123M1Z3,Everest Suppliers,22449.57,2020.46,2020.46,0.00,26490.49,2025-07-09
INV-0109,27AAACS4567N1Z6,Silverline Corp,6990.20,629.12,629.12,0.00,8248.44,2025-06-13
INV-0110,09AAACA8901O1Z9,Ashoka Metals,58701.47,5283.13,5283.13,0.00,69267.73,2025-07-15
INV-0111,27AAACB1234F1Z5,Shree Balaji Traders,45870.61,4128.35,4128.35,0.00,54127.32,2025-06-15
INV-0112,07AAACO5678G1Z2,Om Enterprises,38690.68,3482.16,3482.16,0.00,45655.00,2025-06-18
INV-0113,29AAACK9012H1Z8,Kumar & Sons,65707.28,5913.65,5913.65,0.00,77534.59,2025-06-01
INV-0114,36AAACG3456I1Z1,Global Tech Solutions,61910.55,5571.95,5571.95,0.00,73054.45,2025-06-11
INV-0115,19AAACS7890J1Z4,Sunrise Distributors,57360.45,5162.44,5162.44,0.00,67685.33,2025-06-22
INV-0116,24AAACP2345K1Z7,Pinnacle Industries,25840.35,2325.63,2325.63,0.00,30491.61,2025-06-14
INV-0117,33AAACN6789L1Z0,Nova Logistics,76790.98,6911.19,6911.19,0.00,90613.36,2025-06-22
INV-0118,06AAACE0123M1Z3,Everest Suppliers,12665.77,1139.92,1139.92,0.00,14945.61,2025-06-25
INV-0119,27AAACS4567N1Z6,Silverline Corp,12253.73,1102.84,1102.84,0.00,14459.40,2025-07-25
INV-0120,09AAACA8901O1Z9,Ashoka Metals,30796.68,2771.70,2771.70,0.00,36340.08,2025-06-17
INV-0121,27AAACB1234F1Z5,Shree Balaji Traders,65534.62,5898.11,5898.11,0.00,77330.85,2025-07-17
INV-0122,07AAACO5678G1Z2,Om Enterprises,39456.87,3551.12,3551.12,0.00,46559.11,2025-06-08
INV-0123,29AAACK9012H1Z8,Kumar & Sons,77983.68,7018.53,7018.53,0.00,92020.74,2025-06-25
INV-0124,36AAACG3456I1Z1,Global Tech Solutions,10910.01,981.90,981.90,0.00,12873.81,2025-06-19
INV-0125,19AAACS7890J1Z4,Sunrise Distributors,67205.35,6048.48,6048.48,0.00,79302.31,2025-07-10
INV-0126,24AAACP2345K1Z7,Pinnacle Industries,71408.88,6426.80,6426.80,0.00,84262.48,2025-06-24
INV-0127,33AAACN6789L1Z0,Nova Logistics,48301.41,4347.12,4347.12,0.00,56995.66,2025-07-16
INV-0128,06AAACE0123M1Z3,Everest Suppliers,10216.64,919.50,919.50,0.00,12055.64,2025-07-13
INV-0129,27AAACS4567N1Z6,Silverline Corp,22092.37,1988.32,1988.32,0.00,26069.00,2025-06-19
INV-0130,09AAACA8901O1Z9,Ashoka Metals,78891.61,7100.24,7100.24,0.00,93092.10,2025-07-25
INV-0131,27AAACB1234F1Z5,Shree Balaji Traders,22459.32,2021.34,2021.34,0.00,26502.00,2025-06-07
INV-0132,07AAACO5678G1Z2,Om Enterprises,33509.47,3015.85,3015.85,0.00,39541.17,2025-06-30
INV-0133,29AAACK9012H1Z8,Kumar & Sons,52676.33,4740.87,4740.87,0.00,62158.07,2025-06-24
INV-0134,36AAACG3456I1Z1,Global Tech Solutions,17199.06,1547.91,1547.91,0.00,20294.89,2025-06-23
INV-0135,19AAACS7890J1Z4,Sunrise Distributors,20713.03,1864.17,1864.17,0.00,24441.38,2025-06-18
INV-0136,24AAACP2345K1Z7,Pinnacle Industries,57636.52,5187.28,5187.28,0.00,68011.09,2025-07-14
INV-0137,33AAACN6789L1Z0,Nova Logistics,53602.65,4824.24,4824.24,0.00,63251.13,2025-07-09
INV-0138,06AAACE0123M1Z3,Everest Suppliers,52623.37,4736.10,4736.10,0.00,62095.58,2025-07-05
INV-0139,27AAACS4567N1Z6,Silverline Corp,59684.51,5371.60,5371.60,0.00,70427.72,2025-06-11
INV-0140,09AAACA8901O1Z9,Ashoka Metals,39669.52,3570.26,3570.26,0.00,46810.03,2025-06-18
INV-0141,27AAACB1234F1Z5,Shree Balaji Traders,79214.25,7129.28,7129.28,0.00,93472.82,2025-07-11
INV-0142,07AAACO5678G1Z2,Om Enterprises,56612.15,5095.10,5095.10,0.00,66802.34,2025-06-15
INV-0143,29AAACK9012H1Z8,Kumar & Sons,56346.07,5071.15,5071.15,0.00,66488.36,2025-07-24
INV-0144,36AAACG3456I1Z1,Global Tech Solutions,62623.52,5636.11,5636.11,0.00,73895.75,2025-06-04
INV-0145,19AAACS7890J1Z4,Sunrise Distributors,22178.61,1996.08,1996.08,0.00,26170.76,2025-06-03
INV-0146,24AAACP2345K1Z7,Pinnacle Industries,65378.44,5884.06,5884.06,0.00,77146.56,2025-06-26
INV-0147,33AAACN6789L1Z0,Nova Logistics,20709.64,1863.87,1863.87,0.00,24437.38,2025-06-14
INV-0148,06AAACE0123M1Z3,Everest Suppliers,46525.44,4187.29,4187.29,0.00,54900.02,2025-07-07
