supplier_gstin,supplier_name,invoice_no,invoice_date,taxable_value,cgst,sgst,igst,itc_eligible
27AAACB1234F1Z5,Shree Balaji Traders,INV-0101,2025-06-02,52957.01,4766.13,4766.13,0.00,YES
07AAACO5678G1Z2,Om Enterprises,INV-0102,2025-06-16,60616.29,5455.47,5455.47,0.00,YES
29AAACK9012H1Z8,Kumar & Sons,INV-0103,2025-07-18,21740.81,1956.67,1956.67,0.00,YES
36AAACG3456I1Z1,Global Tech Solutions,INV-0104,2025-07-18,12687.14,1141.85,1141.85,0.00,YES
19AAACS7890J1Z4,Sunrise Distributors,INV-0105,2025-06-06,71913.47,6472.21,6472.21,0.00,YES
24AAACP2345K1Z7,Pinnacle Industries,INV-0106,2025-06-03,49286.94,4435.82,4435.82,0.00,YES
33AAACN6789L1Z0,Nova Logistics,INV-0107,2025-06-14,7234.79,651.13,651.13,0.00,YES
06AAACE0123M1Z3,Everest Suppliers,INV-0108,2025-07-09,22449.57,2020.46,2020.46,0.00,YES
27AAACS4567N1Z6,Silverline Corp,INV-0109,2025-06-13,6990.20,629.12,629.12,0.00,YES
09AAACA8901O1Z9,Ashoka Metals,INV-0110,2025-07-15,58701.47,5283.13,5283.13,0.00,YES
27AAACB1234F1Z5,Shree Balaji Traders,INV-0111,2025-06-15,45870.61,4128.35,4128.35,0.00,YES
07AAACO5678G1Z2,Om Enterprises,INV-0112,2025-06-18,38690.68,3482.16,3482.16,0.00,YES
29AAACK9012H1Z8,Kumar & Sons,INV-0113,2025-06-01,65707.28,5913.65,5913.65,0.00,YES
36AAACG3456I1Z1,Global Tech Solutions,INV-0114,2025-06-11,61910.55,5571.95,5571.95,0.00,YES
19AAACS7890J1Z4,Sunrise Distributors,INV-0115,2025-06-22,57360.45,5162.44,5162.44,0.00,YES
24AAACP2345K1Z7,Pinnacle Industries,INV-0116,2025-06-14,25840.35,2325.63,2325.63,0.00,YES
33AAACN6789L1Z0,Nova Logistics,INV-0117,2025-06-22,76790.98,6911.19,6911.19,0.00,YES
06AAACE0123M1Z3,Everest Suppliers,INV-0118,2025-06-25,12665.77,1139.92,1139.92,0.00,YES
27AAACS4567N1Z6,Silverline Corp,INV-0119,2025-07-25,12253.73,1102.84,1102.84,0.00,YES
09AAACA8901O1Z9,Ashoka Metals,INV-0120,2025-06-17,30796.68,2771.70,2771.70,0.00,YES
27AAACB1234F1Z5,Shree Balaji Traders,INV-0121,2025-07-17,65534.62,5898.11,5898.11,0.00,YES
07AAACO5678G1Z2,Om Enterprises,INV-0122,2025-06-08,39456.87,3551.12,3551.12,0.00,YES
29AAACK9012H1Z8,Kumar & Sons,INV-0123,2025-06-25,77983.68,7018.53,7018.53,0.00,YES
36AAACG3456I1Z1,Global Tech Solutions,INV-0124,2025-06-19,10910.01,981.90,981.90,0.00,YES
19AAACS7890J1Z4,Sunrise Distributors,INV-0125,2025-07-10,67205.35,6048.48,6048.48,0.00,YES
24AAACP2345K1Z7,Pinnacle Industries,INV-0126,2025-06-24,71408.88,6426.80,6426.80,0.00,YES
33AAACN6789L1Z0,Nova Logistics,INV-0127,2025-07-16,48301.41,4347.12,4347.12,0.00,YES
06AAACE0123M1Z3,Everest Suppliers,INV-0128,2025-07-13,10216.64,919.50,919.50,0.00,YES
27AAACS4567N1Z6,Silverline Corp,INV-0129,2025-06-19,22092.37,1988.32,1988.32,0.00,YES
09AAACA8901O1Z9,Ashoka Metals,INV-0130,2025-07-25,78891.61,7100.24,7100.24,0.00,YES
27AAACB1234F1Z5,Shree Balaji Traders,INV-0131,2025-06-07,22459.32,2021.34,2021.34,0.00,YES
07AAACO5678G1Z2,Om Enterprises,INV-0132,2025-06-30,33509.47,3015.85,3015.85,0.00,YES
29AAACK9012H1Z8,Kumar & Sons,INV-0133,2025-06-24,52676.33,4740.87,4740.87,0.00,YES
36AAACG3456I1Z1,Global Tech Solutions,INV-0134,2025-06-23,17199.06,1547.91,1547.91,0.00,YES
19AAACS7890J1Z4,Sunrise Distributors,INV-0135,2025-06-18,20713.03,1864.17,1864.17,0.00,YES
24AAACP2345K1Z7,Pinnacle Industries,INV-0136,2025-07-14,57636.52,5187.28,5187.28,0.00,YES
33AAACN6789L1Z0,Nova Logistics,INV-0137,2025-07-09,53602.65,4824.24,4824.24,0.00,YES
06AAACE0123M1Z3,Everest Suppliers,INV-0138,2025-07-05,52623.37,4736.10,4736.10,0.00,YES
27AAACS4567N1Z6,Silverline Corp,INV-0139,2025-06-11,59684.51,5371.60,5371.60,0.00,YES
09AAACA8901O1Z9,Ashoka Metals,INV-0140,2025-06-18,39669.52,3570.26,3570.26,0.00,YES
27AAACB1234F1Z5,Shree Balaji Traders,INV-0141,2025-07-11,79214.25,7129.28,7129.28,0.00,YES
07AAACO5678G1Z2,Om Enterprises,INV-0142,2025-06-15,56612.15,5095.10,5095.10,0.00,YES
29AAACK9012H1Z8,Kumar & Sons,INV-0143,2025-07-24,56346.07,5071.15,5071.15,0.00,YES
36AAACG3456I1Z1,Global Tech Solutions,INV-0144,2025-06-04,62623.52,5636.11,5636.11,0.00,YES
19AAACS7890J1Z4,Sunrise Distributors,INV-0145,2025-06-03,22178.61,1996.08,1996.08,0.00,YES
24AAACP2345K1Z7,Pinnacle Industries,INV-0146,2025-06-26,65378.44,5884.06,5884.06,0.00,YES
33AAACN6789L1Z0,Nova Logistics,INV-0147,2025-06-14,20709.64,1863.87,1863.87,0.00,YES
06AAACE0123M1Z3,Everest Suppliers,INV-0148,2025-07-07,46525.44,4187.29,4187.29,0.00,YES
27AAACS4567N1Z6,Silverline Corp,INV-0149,2025-06-21,45054.71,4054.93,4054.93,0.00,YES
09AAACA8901O1Z9,Ashoka Metals,INV-0150,2025-07-02,18505.06,1665.45,1665.45,0.00,YES
27AAACB1234F1Z5,Shree Balaji Traders,INV-0151,2025-07-29,14890.80,1340.17,1340.17,0.00,YES
07AAACO5678G1Z2,Om Enterprises,INV-0152,2025-06-10,21071.30,1896.41,1896.41,0.00,YES
29AAACK9012H1Z8,Kumar & Sons,INV-0153,2025-06-16,11622.00,1045.98,1045.98,0.00,YES
36AAACG3456I1Z1,Global Tech Solutions,INV-0154,2025-07-05,23624.72,2126.22,2126.22,0.00,YES
19AAACS7890J1Z4,Sunrise Distributors,INV-0155,2025-07-08,11568.54,1041.17,1041.17,0.00,YES
24AAACP2345K1Z7,Pinnacle Industries,INV-0156,2025-07-08,15710.85,1413.97,1413.97,0.00,YES
33AAACN6789L1Z0,Nova Logistics,INV-0157,2025-06-15,14985.01,1348.65,1348.65,0.00,YES
06AAACE0123M1Z3,Everest Suppliers,INV-0158,2025-06-09,29933.14,2693.99,2693.99,0.00,YES
27AAACS4567N1Z6,Silverline Corp,INV-0159,2025-06-06,12642.89,1137.86,1137.86,0.00,YES
09AAACA8901O1Z9,Ashoka Metals,INV-0160,2025-07-26,16336.73,1470.31,1470.31,0.00,YES
27AAACB1234F1Z5,Shree Balaji Traders,INV-0161,2025-07-11,6644.74,598.02,598.02,0.00,YES
07AAACO5678G1Z2,Om Enterprises,INV-0162,2025-07-14,7399.73,665.98,665.98,0.00,YES
29AAACK9012H1Z8,Kumar & Sons,INV-0163,2025-06-05,11332.40,1019.91,1019.91,0.00,YES
36AAACG3456I1Z1,Global Tech Solutions,INV-0164,2025-07-09,10771.51,969.43,969.43,0.00,YES
19AAACS7890J1Z4,Sunrise Distributors,INV-0165,2025-07-04,19941.82,1794.77,1794.77,0.00,YES
24AAACP2345K1Z7,Pinnacle Industries,INV-0166,2025-07-06,8771.21,789.41,789.41,0.00,YES
