invoice_id,invoice_no,vendor,gstin,date,taxable_value,tax,total,payment_status
II-INV-0101,INV-0101,Shree Balaji Traders,27AAACB1234F1Z5,2025-06-02,52957.01,9532.26,62489.27,PAID
II-INV-0102,INV-0102,Om Enterprises,07AAACO5678G1Z2,2025-06-16,60616.29,10910.94,71527.22,PAID
II-INV-0103,INV-0103,Kumar & Sons,29AAACK9012H1Z8,2025-07-18,21740.81,3913.34,25654.16,PAID
II-INV-0104,INV-0104,Global Tech Solutions,36AAACG3456I1Z1,2025-07-18,12687.14,2283.70,14970.83,PAID
II-INV-0105,INV-0105,Sunrise Distributors,19AAACS7890J1Z4,2025-06-06,71913.47,12944.42,84857.89,PAID
II-INV-0106,INV-0106,Pinnacle Industries,24AAACP2345K1Z7,2025-06-03,49286.94,8871.64,58158.59,PAID
II-INV-0107,INV-0107,Nova Logistics,33AAACN6789L1Z0,2025-06-14,7234.79,1302.26,8537.05,PAID
II-INV-0108,INV-0108,Everest Suppliers,06AAACE0123M1Z3,2025-07-09,22449.57,4040.92,26490.49,PAID
II-INV-0109,INV-0109,Silverline Corp,27AAACS4567N1Z6,2025-06-13,6990.20,1258.24,8248.44,PAID
II-INV-0110,INV-0110,Ashoka Metals,09AAACA8901O1Z9,2025-07-15,58701.47,10566.26,69267.73,PAID
II-INV-0111,INV-0111,Shree Balaji Traders,27AAACB1234F1Z5,2025-06-15,45870.61,8256.70,54127.32,PAID
II-INV-0112,INV-0112,Om Enterprises,07AAACO5678G1Z2,2025-06-18,38690.68,6964.32,45655.00,PAID
II-INV-0113,INV-0113,Kumar & Sons,29AAACK9012H1Z8,2025-06-01,65707.28,11827.30,77534.59,PAID
II-INV-0114,INV-0114,Global Tech Solutions,36AAACG3456I1Z1,2025-06-11,61910.55,11143.90,73054.45,PAID
II-INV-0115,INV-0115,Sunrise Distributors,19AAACS7890J1Z4,2025-06-22,57360.45,10324.88,67685.33,PAID
II-INV-0116,INV-0116,Pinnacle Industries,24AAACP2345K1Z7,2025-06-14,25840.35,4651.26,30491.61,PAID
II-INV-0117,INV-0117,Nova Logistics,33AAACN6789L1Z0,2025-06-22,76790.98,13822.38,90613.36,PAID
II-INV-0118,INV-0118,Everest Suppliers,06AAACE0123M1Z3,2025-06-25,12665.77,2279.84,14945.61,PAID
II-INV-0119,INV-0119,Silverline Corp,27AAACS4567N1Z6,2025-07-25,12253.73,2205.68,14459.40,PAID
II-INV-0120,INV-0120,Ashoka Metals,09AAACA8901O1Z9,2025-06-17,30796.68,5543.40,36340.08,PAID
II-INV-0121,INV-0121,Shree Balaji Traders,27AAACB1234F1Z5,2025-07-17,65534.62,11796.22,77330.85,PAID
II-INV-0122,INV-0122,Om Enterprises,07AAACO5678G1Z2,2025-06-08,39456.87,7102.24,46559.11,PAID
II-INV-0123,INV-0123,Kumar & Sons,29AAACK9012H1Z8,2025-06-25,77983.68,14037.06,92020.74,PAID
II-INV-0124,INV-0124,Global Tech Solutions,36AAACG3456I1Z1,2025-06-19,10910.01,1963.80,12873.81,PAID
II-INV-0125,INV-0125,Sunrise Distributors,19AAACS7890J1Z4,2025-07-10,67205.35,12096.96,79302.31,PAID
II-INV-0126,INV-0126,Pinnacle Industries,24AAACP2345K1Z7,2025-06-24,71408.88,12853.60,84262.48,PAID
II-INV-0127,INV-0127,Nova Logistics,33AAACN6789L1Z0,2025-07-16,48301.41,8694.24,56995.66,PAID
II-INV-0128,INV-0128,Everest Suppliers,06AAACE0123M1Z3,2025-07-13,10216.64,1839.00,12055.64,PAID
II-INV-0129,INV-0129,Silverline Corp,27AAACS4567N1Z6,2025-06-19,22092.37,3976.64,26069.00,PAID
II-INV-0130,INV-0130,Ashoka Metals,09AAACA8901O1Z9,2025-07-25,78891.61,14200.48,93092.10,PAID
II-INV-0131,INV-0131,Shree Balaji Traders,27AAACB1234F1Z5,2025-06-07,22459.32,4042.68,26502.00,PAID
II-INV-0132,INV-0132,Om Enterprises,07AAACO5678G1Z2,2025-06-30,33509.47,6031.70,39541.17,PAID
II-INV-0133,INV-0133,Kumar & Sons,29AAACK9012H1Z8,2025-06-24,52676.33,9481.74,62158.07,PAID
II-INV-0134,INV-0134,Global Tech Solutions,36AAACG3456I1Z1,2025-06-23,17199.06,3095.82,20294.89,PAID
II-INV-0135,INV-0135,Sunrise Distributors,19AAACS7890J1Z4,2025-06-18,20713.03,3728.34,24441.38,PAID
II-INV-0136,INV-0136,Pinnacle Industries,24AAACP2345K1Z7,2025-07-14,57636.52,10374.56,68011.09,PAID
II-INV-0137,INV-0137,Nova Logistics,33AAACN6789L1Z0,2025-07-09,53602.65,9648.48,63251.13,PAID
II-INV-0138,INV-0138,Everest Suppliers,06AAACE0123M1Z3,2025-07-05,52623.37,9472.20,62095.58,PAID
II-INV-0139,INV-0139,Silverline Corp,27AAACS4567N1Z6,2025-06-11,59684.51,10743.20,70427.72,PAID
II-INV-0140,INV-0140,Ashoka Metals,09AAACA8901O1Z9,2025-06-18,39669.52,7140.52,46810.03,PAID
II-INV-0141,INV-0141,Shree Balaji Traders,27AAACB1234F1Z5,2025-07-11,79214.25,14258.56,93472.82,PAID
II-INV-0142,INV-0142,Om Enterprises,07AAACO5678G1Z2,2025-06-15,56612.15,10190.20,66802.34,PAID
II-INV-0143,INV-0143,Kumar & Sons,29AAACK9012H1Z8,2025-07-24,56346.07,10142.30,66488.36,PAID
II-INV-0144,INV-0144,Global Tech Solutions,36AAACG3456I1Z1,2025-06-04,62623.52,11272.22,73895.75,PAID
II-INV-0145,INV-0145,Sunrise Distributors,19AAACS7890J1Z4,2025-06-03,22178.61,3992.16,26170.76,PAID
II-INV-0146,INV-0146,Pinnacle Industries,24AAACP2345K1Z7,2025-06-26,65378.44,11768.12,77146.56,PAID
II-INV-0147,INV-0147,Nova Logistics,33AAACN6789L1Z0,2025-06-14,20709.64,3727.74,24437.38,PAID
II-INV-0148,INV-0148,Everest Suppliers,06AAACE0123M1Z3,2025-07-07,46525.44,8374.58,54900.02,PAID
II-INV-0149,INV-0149,Silverline Corp,27AAACS4567N1Z6,2025-06-21,45054.71,8109.86,53164.56,PAID
II-INV-0150,INV-0150,Ashoka Metals,09AAACA8901O1Z9,2025-07-02,18505.06,3330.90,21835.97,PAID
II-INV-0151,INV-0151,Shree Balaji Traders,27AAACB1234F1Z5,2025-07-29,14890.80,2680.34,17571.14,PAID
