voucher_id,invoice_no,party,gstin,date,ledger,amount,payment_status
V-INV-0101,INV-0101,Shree Balaji Traders,27AAACB1234F1Z5,2025-06-02,Purchase,62489.27,PAID
V-INV-0102,INV-0102,Om Enterprises,07AAACO5678G1Z2,2025-06-16,Purchase,71527.22,PAID
V-INV-0103,INV-0103,Kumar & Sons,29AAACK9012H1Z8,2025-07-18,Purchase,25654.16,PAID
V-INV-0104,INV-0104,Global Tech Solutions,36AAACG3456I1Z1,2025-07-18,Purchase,14970.83,PAID
V-INV-0105,INV-0105,Sunrise Distributors,19AAACS7890J1Z4,2025-06-06,Purchase,84857.89,PAID
V-INV-0106,INV-0106,Pinnacle Industries,24AAACP2345K1Z7,2025-06-03,Purchase,58158.59,PAID
V-INV-0107,INV-0107,Nova Logistics,33AAACN6789L1Z0,2025-06-14,Purchase,8537.05,PAID
V-INV-0108,INV-0108,Everest Suppliers,06AAACE0123M1Z3,2025-07-09,Purchase,26490.49,PAID
V-INV-0109,INV-0109,Silverline Corp,27AAACS4567N1Z6,2025-06-13,Purchase,8248.44,PAID
V-INV-0110,INV-0110,Ashoka Metals,09AAACA8901O1Z9,2025-07-15,Purchase,69267.73,PAID
V-INV-0111,INV-0111,Shree Balaji Traders,27AAACB1234F1Z5,2025-06-15,Purchase,54127.32,PAID
V-INV-0112,INV-0112,Om Enterprises,07AAACO5678G1Z2,2025-06-18,Purchase,45655.00,PAID
V-INV-0113,INV-0113,Kumar & Sons,29AAACK9012H1Z8,2025-06-01,Purchase,77534.59,PAID
V-INV-0114,INV-0114,Global Tech Solutions,36AAACG3456I1Z1,2025-06-11,Purchase,73054.45,PAID
V-INV-0115,INV-0115,Sunrise Distributors,19AAACS7890J1Z4,2025-06-22,Purchase,67685.33,PAID
V-INV-0116,INV-0116,Pinnacle Industries,24AAACP2345K1Z7,2025-06-14,Purchase,30491.61,PAID
V-INV-0117,INV-0117,Nova Logistics,33AAACN6789L1Z0,2025-06-22,Purchase,90613.36,PAID
V-INV-0118,INV-0118,Everest Suppliers,06AAACE0123M1Z3,2025-06-25,Purchase,14945.61,PAID
V-INV-0119,INV-0119,Silverline Corp,27AAACS4567N1Z6,2025-07-25,Purchase,14459.40,PAID
V-INV-0120,INV-0120,Ashoka Metals,09AAACA8901O1Z9,2025-06-17,Purchase,36340.08,PAID
V-INV-0121,INV-0121,Shree Balaji Traders,27AAACB1234F1Z5,2025-07-17,Purchase,77330.85,PAID
V-INV-0122,INV-0122,Om Enterprises,07AAACO5678G1Z2,2025-06-08,Purchase,46559.11,PAID
V-INV-0123,INV-0123,Kumar & Sons,29AAACK9012H1Z8,2025-06-25,Purchase,92020.74,PAID
V-INV-0124,INV-0124,Global Tech Solutions,36AAACG3456I1Z1,2025-06-19,Purchase,12873.81,PAID
V-INV-0125,INV-0125,Sunrise Distributors,19AAACS7890J1Z4,2025-07-10,Purchase,79302.31,PAID
V-INV-0126,INV-0126,Pinnacle Industries,24AAACP2345K1Z7,2025-06-24,Purchase,84262.48,PAID
V-INV-0127,INV-0127,Nova Logistics,33AAACN6789L1Z0,2025-07-16,Purchase,56995.66,PAID
V-INV-0128,INV-0128,Everest Suppliers,06AAACE0123M1Z3,2025-07-13,Purchase,12055.64,PAID
V-INV-0129,INV-0129,Silverline Corp,27AAACS4567N1Z6,2025-06-19,Purchase,26069.00,PAID
V-INV-0130,INV-0130,Ashoka Metals,09AAACA8901O1Z9,2025-07-25,Purchase,93092.10,PAID
V-INV-0131,INV-0131,Shree Balaji Traders,27AAACB1234F1Z5,2025-06-07,Purchase,26502.00,PAID
V-INV-0132,INV-0132,Om Enterprises,07AAACO5678G1Z2,2025-06-30,Purchase,39541.17,PAID
V-INV-0133,INV-0133,Kumar & Sons,29AAACK9012H1Z8,2025-06-24,Purchase,62158.07,PAID
V-INV-0134,INV-0134,Global Tech Solutions,36AAACG3456I1Z1,2025-06-23,Purchase,20294.89,PAID
V-INV-0135,INV-0135,Sunrise Distributors,19AAACS7890J1Z4,2025-06-18,Purchase,24441.38,PAID
V-INV-0136,INV-0136,Pinnacle Industries,24AAACP2345K1Z7,2025-07-14,Purchase,68011.09,PAID
V-INV-0137,INV-0137,Nova Logistics,33AAACN6789L1Z0,2025-07-09,Purchase,63251.13,PAID
V-INV-0138,INV-0138,Everest Suppliers,06AAACE0123M1Z3,2025-07-05,Purchase,62095.58,PAID
V-INV-0139,INV-0139,Silverline Corp,27AAACS4567N1Z6,2025-06-11,Purchase,70427.72,PAID
V-INV-0140,INV-0140,Ashoka Metals,09AAACA8901O1Z9,2025-06-18,Purchase,46810.03,PAID
V-INV-0141,INV-0141,Shree Balaji Traders,27AAACB1234F1Z5,2025-07-11,Purchase,93472.82,PAID
V-INV-0142,INV-0142,Om Enterprises,07AAACO5678G1Z2,2025-06-15,Purchase,66802.34,PAID
V-INV-0143,INV-0143,Kumar & Sons,29AAACK9012H1Z8,2025-07-24,Purchase,66488.36,PAID
V-INV-0144,INV-0144,Global Tech Solutions,36AAACG3456I1Z1,2025-06-04,Purchase,73895.75,PAID
V-INV-0145,INV-0145,Sunrise Distributors,19AAACS7890J1Z4,2025-06-03,Purchase,26170.76,PAID
V-INV-0146,INV-0146,Pinnacle Industries,24AAACP2345K1Z7,2025-06-26,Purchase,77146.56,PAID
V-INV-0147,INV-0147,Nova Logistics,33AAACN6789L1Z0,2025-06-14,Purchase,28102.99,PAID
V-INV-0148,INV-0148,Everest Suppliers,06AAACE0123M1Z3,2025-07-07,Purchase,63135.02,PAID
V-INV-0149,INV-0149,Silverline Corp,27AAACS4567N1Z6,2025-06-21,Purchase,61139.24,PAID
V-INV-0150,INV-0150,Ashoka Metals,09AAACA8901O1Z9,2025-07-02,Purchase,25111.37,PAID
V-INV-0155,INV-0155,Sunrise Distributors,19AAACS7890J1Z4,2025-07-08,Purchase,13650.88,UNPAID
V-INV-0156,INV-0156,Pinnacle Industries,24AAACP2345K1Z7,2025-07-08,Purchase,18538.80,UNPAID
V-INV-0157,INV-0157,Nova Logistics,33AAACN6789L1Z0,2025-06-15,Purchase,17682.31,UNPAID
V-INV-0158,INV-0158,Everest Suppliers,06AAACE0123M1Z3,2025-06-09,Purchase,35321.11,UNPAID
V-INV-0159,INV-0159,Silverline Corp,27AAACS4567N1Z6,2025-06-06,Purchase,14918.61,PAID
V-INV-0160,INV-0160,Ashoka Metals,09AAACA8901O1Z9,2025-07-26,Purchase,19277.34,PAID
V-INV-0161,INV-0161,Shree Balaji Traders,27AAACB1234F1Z5,2025-07-11,Purchase,7840.79,PAID
V-INV-0162,INV-0162,Om Enterprises,07AAACO5678G1Z2,2025-07-14,Purchase,8731.68,PAID
V-INV-0162-DUP2,INV-0162,Om Enterprises,07AAACO5678G1Z2,2025-07-14,Purchase,8731.68,PAID
